tic,toi,rotulo,disposicao,periodo_publicado,profundidade_publicada_ppm,periodo_recuperado,erro_periodo_rel,profundidade_pct,duracao_h,snr,pico,secundario_pct,odd_even,forma,centroide,pontos
321857016,1420.01,planeta,CP,6.9561134,15989.2311010,6.95054,0.00080,1.4171,2.780,100.83,1.8351,0.0000,0.0085,0.9167,1.2853,14419
293954617,1430.01,planeta,CP,7.4341456,701.0000000,7.42661,0.00101,0.0858,1.980,23.15,0.0904,0.0000,0.6255,0.5385,2.4407,18421
229650439,1438.01,planeta,CP,5.1396666,769.5996824,1.67333,0.34886,0.0228,3.347,6.96,0.0624,0.0035,0.2997,0.4000,1.2169,18424
258514800,1444.01,planeta,CP,0.4702719,209.4931300,8.88244,8.44395,0.0499,7.106,10.13,0.1063,0.0000,1.1886,0.1429,9.8912,13322
377293776,1450.01,planeta,CP,2.0439268,465.1929875,0.54464,0.46707,0.0320,0.581,4.48,0.0663,0.0000,0.5829,0.3333,1.1962,16655
198390247,1453.01,planeta,CP,6.5886877,852.0000000,6.59034,0.00025,0.0851,1.757,11.25,0.0906,0.0018,0.0292,0.6364,1.9435,18424
191284318,1458.01,planeta,KP,2.7759678,13613.0000000,2.77861,0.00095,1.1270,2.593,177.25,2.2326,0.0015,0.0253,0.8333,6.0267,12927
188768068,1462.01,planeta,CP,2.1779407,110.0000000,2.17913,0.00055,0.0099,2.034,10.56,0.0182,0.0005,0.0547,0.6000,0.6145,13522
236887394,1465.01,planeta,KP,1.4200248,23730.0000000,1.42018,0.00011,1.9434,1.325,160.70,3.7506,0.0085,0.0103,0.8182,5.1464,14117
240968774,1467.01,planeta,CP,5.9711357,1437.1086027,5.96787,0.00055,0.0971,2.387,9.23,0.1281,0.0039,0.1117,0.5556,0.6345,12022
243185500,1468.02,planeta,CP,1.8805310,1214.0066593,7.76684,1.06507,0.2303,2.071,13.57,0.2246,0.0320,0.0000,0.6250,1.0248,12805
283722336,1469.01,planeta,KP,3.0929386,254.2319025,3.09122,0.00055,0.0209,0.824,23.43,0.0238,0.0000,0.1269,0.6667,1.5619,15125
284441182,1470.01,planeta,CP,2.5272822,1847.4872236,2.52670,0.00023,0.1427,1.348,8.67,0.2091,0.0000,0.3458,0.3333,0.9597,12841
306955329,1472.01,planeta,CP,6.3634106,2368.6952027,3.18229,0.00018,0.1452,2.546,20.13,0.2770,0.0000,1.1205,0.5000,0.2889,11823
352413427,1473.01,planeta,CP,5.2544884,567.0000000,5.24942,0.00097,0.0443,2.800,14.93,0.0612,0.0043,0.4005,0.6364,0.7234,12785
432549364,1476.01,planeta,KP,1.2174936,6969.0000000,1.21754,0.00004,0.6194,2.597,169.94,1.7730,0.0834,0.0210,0.9091,1.6331,12850
240681314,1477.01,planeta,KP,2.7324809,9548.2806012,2.73395,0.00054,0.7770,1.458,75.53,1.0938,0.0000,0.0092,0.6667,1.9382,12507
411608801,1494.01,planeta,CP,5.0267996,6358.0060702,5.02287,0.00078,0.5172,2.679,78.10,0.8034,0.0000,0.0502,0.7778,0.5116,13015
376637093,1516.01,planeta,CP,2.0560153,17453.0000000,2.05657,0.00027,1.4787,2.468,333.89,3.2015,0.0063,0.0028,0.9167,105.6387,17990
427761355,1518.01,planeta,CP,1.9026060,8984.9897271,1.90228,0.00017,0.7392,1.775,336.05,1.4216,0.0248,0.0042,0.8182,1.8406,17991
345143460,1533.01,planeta,CP,3.6458046,1168.0000000,3.64231,0.00096,0.0869,1.943,16.71,0.1382,0.0130,0.2197,0.6000,0.8241,17991
354469661,1580.01,planeta,KP,4.7947749,6864.0000000,4.79106,0.00077,0.5727,4.472,220.78,1.1468,0.0000,0.0101,1.0000,3.1950,19237
129979528,1599.01,planeta,KP,1.2198382,12160.1096043,1.21989,0.00004,1.2122,2.602,320.22,3.4066,0.0416,0.0286,0.8333,27.7688,14829
139375960,1601.01,planeta,CP,5.3315500,4220.0000000,5.33763,0.00114,0.3787,5.693,74.27,0.6998,0.0000,0.0957,0.9167,1.1382,12910
73448352,1603.01,planeta,KP,4.7321735,8121.0000000,4.73173,0.00009,0.6378,2.524,97.01,0.8244,0.0000,0.0055,0.8333,0.6895,17886
101037590,1605.01,planeta,CP,8.7094632,4510.0000000,8.71856,0.00104,0.3536,2.325,49.77,0.2987,0.0116,0.0000,0.7778,0.9814,19474
268403451,1612.01,planeta,KP,2.8641388,9597.0000000,2.86484,0.00024,0.7927,2.292,181.68,1.4598,0.0053,0.0062,0.8333,1.1162,17242
424435940,1627.01,planeta,KP,5.0172146,14236.9594003,5.01182,0.00108,1.2614,3.341,133.04,2.1041,0.0000,0.0478,0.9091,37.6488,17246
284475976,1628.01,planeta,KP,2.1436364,9203.7552743,2.14381,0.00008,0.8733,2.573,110.25,1.8923,0.0104,0.0321,0.9167,2.4889,15125
310003988,1629.01,planeta,KP,4.5421594,9760.0000000,4.54751,0.00118,0.7693,4.244,89.51,1.4260,0.0000,0.0201,0.8000,2.4610,15043
201186294,1634.01,planeta,CP,0.9893300,1519.6695870,0.98918,0.00016,0.1499,0.923,17.31,0.2882,0.0009,0.0993,0.8333,2.9949,14191
396562848,1640.01,planeta,CP,1.9495403,2089.2444115,1.94987,0.00017,0.1763,0.780,13.47,0.2219,0.0000,0.2942,0.6667,0.9870,14459
376353509,1648.01,planeta,CP,7.3315684,893.0000000,7.32426,0.00100,0.0820,0.977,9.85,0.0686,0.0025,0.0227,0.2222,0.7000,16749
138168780,1651.01,planeta,KP,3.7649949,14735.0000000,3.76413,0.00023,1.1734,2.509,232.25,1.8920,0.0000,0.0097,0.8182,4.5859,16697
288631580,1659.01,planeta,CP,5.8775548,412.2881337,8.69623,0.26022,0.1478,5.797,31.31,0.2775,0.0000,0.2407,0.6667,3.7940,18420
428679607,1669.01,planeta,CP,2.6800536,456.0000000,2.67866,0.00052,0.0404,1.786,10.09,0.0644,0.0000,0.0955,0.5556,3.5800,16730
8400842,1676.01,planeta,KP,3.1915257,8587.0000000,3.18983,0.00053,0.7062,2.552,181.77,1.1505,0.0003,0.0136,0.9091,1.2957,16787
367366318,1682.01,planeta,KP,2.7347651,9209.0000000,2.73567,0.00033,0.7873,2.918,389.13,1.6274,0.0000,0.0125,0.9167,2.1014,16699
58542531,1683.01,planeta,CP,3.0575240,1117.9638175,3.05888,0.00044,0.1110,1.224,18.25,0.1412,0.0000,0.1916,0.5000,0.2778,16893
28900646,1685.01,planeta,CP,0.6691449,1254.3711932,0.66898,0.00024,0.0974,0.714,12.51,0.2031,0.0019,0.1686,0.5000,0.7450,16863
353475866,1693.01,planeta,CP,1.7666920,830.5082973,1.76642,0.00015,0.0909,1.413,13.05,0.1623,0.0000,0.0906,0.2727,0.7328,16587
396740648,1694.01,planeta,CP,3.7701296,4361.1801082,3.76957,0.00015,0.4111,2.513,55.56,0.6539,0.0000,0.0571,0.7500,0.8563,16365
422756130,1695.01,planeta,CP,3.1342946,1183.6060713,3.13227,0.00064,0.1026,0.835,7.76,0.1193,0.0105,0.1987,0.5000,4.2623,14670
239154970,1714.01,planeta,KP,3.4744763,12920.0000000,3.47542,0.00027,1.1175,3.707,180.25,2.2700,0.0103,0.0171,0.9167,2.9232,16557
14336130,1716.01,planeta,CP,8.0823540,559.0000000,8.09701,0.00181,0.0442,3.239,14.81,0.0643,0.0033,0.0400,0.5000,0.6165,17627
130181866,1726.01,planeta,CP,7.1079340,501.6058242,5.94401,0.16375,0.0387,7.925,45.74,0.0988,0.0035,0.9958,0.6364,16.9080,16556
285048486,1728.01,planeta,CP,3.4913952,5400.0000000,3.49327,0.00054,0.4576,1.863,57.70,0.7115,0.0275,0.0624,0.8182,1.4911,17632
318022259,1730.01,planeta,CP,6.2262315,1488.0000000,6.21552,0.00172,0.1401,2.486,15.46,0.1613,0.0000,0.8654,0.4444,1.9538,16514
371234684,1731.01,planeta,KP,3.9228042,13970.0000000,3.92199,0.00021,1.1899,2.615,94.97,2.1194,0.0075,0.0103,0.8462,4.8766,16554
408618999,1736.01,planeta,CP,7.0731057,439.0000000,7.07446,0.00019,0.0420,3.773,18.52,0.0724,0.0000,0.1055,0.5000,2.9622,14765
159418353,1739.01,planeta,CP,8.3033493,571.0000000,1.41982,0.65801,0.0200,3.786,10.03,0.0632,0.0048,0.3333,0.1000,4.4486,18424
289580577,1753.01,planeta,CP,5.3846239,630.6901313,3.10185,0.15211,0.0351,4.136,5.91,0.0858,0.0000,0.0858,0.2857,1.6892,17139
67666096,1766.01,planeta,KP,2.7033942,10340.0000000,2.70317,0.00008,0.8054,2.883,271.80,1.6598,0.0051,0.0400,0.9091,2.3793,17345
8767448,1767.01,planeta,KP,4.3532339,10270.0000000,4.35615,0.00067,0.8328,3.485,192.71,1.6544,0.0005,0.0161,0.8333,3.9278,17348
137906197,1768.01,planeta,CP,7.3377236,795.0000000,7.33063,0.00097,0.0815,3.910,16.44,0.1273,0.0000,0.1322,0.6000,0.3540,18651
252479260,1771.01,planeta,KP,3.2122302,14429.0000000,3.21165,0.00018,1.1881,2.569,412.27,2.1049,0.0000,0.0041,0.9091,1.1137,18711
85293053,1772.01,planeta,CP,8.0542207,706.8165307,8.03718,0.00212,0.0573,4.286,16.88,0.0968,0.0000,0.1154,0.7000,0.9742,17349
332064670,1773.01,planeta,KP,0.7365463,384.6733121,0.73640,0.00020,0.0350,1.473,77.80,0.0971,0.0018,0.0291,0.8333,3.0008,17351
21535395,1776.01,planeta,CP,2.8009915,204.8553325,2.80245,0.00052,0.0204,1.495,10.61,0.0311,0.0000,0.1966,0.4167,0.4622,18711
39699648,1778.01,planeta,CP,6.5273884,415.4308910,6.51444,0.00198,0.0424,2.606,14.96,0.0563,0.0000,0.1359,0.3636,0.3229,17330
160045097,1782.01,planeta,CP,4.9877056,1192.3398198,1.82814,0.26694,0.0842,0.975,8.07,0.1273,0.0041,0.5474,0.2000,3.7562,18423
149603524,102.01,planeta,KP,4.4119372,14711.8810303,4.41579,0.00087,1.2894,2.944,263.25,2.0889,0.0000,0.0154,0.8462,1.4124,18278
336732616,103.01,planeta,KP,3.5478540,10424.3718000,3.54730,0.00016,0.9753,2.838,105.90,1.7933,0.0240,0.0209,0.9231,1.1581,18182
231670397,104.01,planeta,KP,4.0872956,3572.1712499,4.08694,0.00009,0.3384,4.904,109.90,0.7421,0.0000,0.0653,0.9167,1.2013,18277
144065872,105.01,planeta,KP,2.1846669,11535.5475157,2.18513,0.00021,1.0902,2.331,339.40,2.2318,0.0133,0.0021,1.0000,0.7696,18276
38846515,106.01,planeta,KP,2.8493827,7740.4889995,2.84770,0.00059,0.6622,3.417,157.86,1.4362,0.0010,0.0226,0.8333,1.7543,15882
92352620,107.01,planeta,KP,3.9502008,13914.0000000,3.94775,0.00062,1.1036,4.211,289.25,2.2675,0.0192,0.0213,0.8333,6.8632,18181
281459670,110.01,planeta,KP,3.1743504,15457.3247576,3.17406,0.00009,1.3144,2.116,49.79,2.1486,0.0891,0.1078,0.8462,15.9709,18271
388104525,112.01,planeta,KP,2.4997996,14621.2059647,2.49961,0.00007,1.2892,2.666,165.77,2.7252,0.0000,0.0012,0.9091,0.3812,18278
25155310,114.01,planeta,KP,3.2887898,7005.7247902,3.29049,0.00052,0.6356,3.071,129.77,1.2470,0.0000,0.0401,0.9167,0.3911,18278
238176110,116.01,planeta,KP,2.7985802,16708.7151957,2.79941,0.00030,1.4818,1.866,180.78,2.4706,0.0045,0.0048,0.9167,0.9143,18276
322307342,117.01,planeta,KP,3.5862962,5729.3246858,3.58803,0.00048,0.5172,2.870,45.72,0.9363,0.0000,0.0200,0.9091,1.1092,15273
266980320,118.01,planeta,CP,6.0344634,1750.6457632,6.03559,0.00019,0.1277,2.414,32.71,0.1574,0.0000,0.0331,0.7778,1.3092,18273
391949880,128.01,planeta,CP,4.9404714,455.0000000,4.94494,0.00091,0.0383,1.978,17.33,0.0526,0.0005,0.1649,0.3333,0.2315,18276
201248411,129.01,planeta,CP,0.9809720,6178.3924210,0.98092,0.00005,0.5402,0.523,107.35,0.7972,0.0153,0.0214,0.6364,0.6091,18275
89020549,132.01,planeta,CP,2.1096805,1309.7297126,2.11048,0.00038,0.1218,1.970,20.24,0.2264,0.0128,0.1088,0.7273,1.5248,18273
